DETAILS
================
Computername............: My_Windows_Computer
Operatingsystem.........: Microsoft Windows XP Service Pack 2
OS Product ID...........: 12345-640-1234567-23746
OS Registered Org.......: Example Company
OS Registered owner.....: Example Owner
Open-SIS Timestamp......: Mon 25 Sep 2006 12:03:34 
Open-SIS Scriptverion...: 0.0.3
==SOFTWARE===================
Windows Driver Package - Nokia Modem  (04/06/2006 6.8.0.17)|04/06/2006 6.8.0.17|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\010D072E91408D6B7C6FC65489B6D30C027605F5
{AB6FFA58-F491-11D3-8951-000000027524}|not-defined|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{AB6FFA58-F491-11D3-8951-000000027524}
Adobe Acrobat 7.0.1 and Reader 7.0.1 Update|7.0.1|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{AC76BA86-0000-7EC8-7489-000000000701}
Adobe Reader 7.0|7.0.0|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{AC76BA86-7AD7-1033-7646-A70000000000}
Microsoft XML 6.0 EN|6.00.3883.8|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{AEB9948B-4FF2-47C9-990E-47014492A0FE}
Nokia PC Suite|6.80.20|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{B4337A99-5684-474A-B261-E9C71F88E978}
Comet Lite|1.4|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{BA3E3446-8054-47A5-8715-01C8E7C16637}
Corporate Treasury Support Tool|2.6|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{BB29A1EF-7A43-4955-B3B2-45217F1C5FD3}
MySQL Server 5.0|5.0.19|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{C195FD06-78E3-4CD9-87F0-2EF3FE5EB7AD}
Retain Enterprise|3.6|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{C61FF2ED-E5EF-49DD-9CA9-91D448EAE3A1}
Microsoft .NET Framework 1.1|1.1.4322|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{CB2F7EDD-9D1F-43C1-90FC-4F52EAE172A1}
{D1A4DEBD-C2EE-449f-B9FB-E8409F9A0BC5}|not-defined|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{D1A4DEBD-C2EE-449f-B9FB-E8409F9A0BC5}
GFS SAP Mobile Engine 2.1|2.1|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{D92633F9-FBBD-11D5-B481-006008F1DFC0}
AccessData FTK Imager|2.5.1|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{E1D8B687-F098-4C43-B388-CFE3C621EE38}
Nokia Connectivity Cable Driver|6.80.5.1|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{E4DD8B33-6F9B-41C5-96FF-5DBF27ED23E7}
GFS Time and Expenses applications|2.1|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{E683C10D-D296-46B3-B7A5-691A1847E9F7}
WinZip Computing WinZip 9.0 SR1 EN|1.0|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{EA9673DD-6E52-4E8D-BB80-40C386867DC8}
Maintenance Tool|3.0|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{FAE5EB29-0166-46B0-81A1-F9688FFE9C58}
ThinkPad Configuration|1.50b|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{FC081D4D-DF1B-4CF1-B530-027E4118D846}
AccessData Registry Viewer||SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{FD951CD4-4600-4F32-83D4-AEA3E504D900}
Microsoft UPHClean 1.6.30 EN|1.6.30|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{FF77941A-2BFA-4A18-BE2E-69B9498E4D55}
=============================
==STORAGE====================
IDE|not-defined|FUJITSU MHT2040AH                       006C    
IDE|not-defined|HTS541040G9AT00                         MB2IA60A
IDE|not-defined|HTS548040M9AT00                         MG2OA5BA
IDE|not-defined|LEXAR ATA FLASH                         V1.00   
Firewire|ICS Inc.|FastBloc FE
Firewire|Maxtor|OneTouch
Firewire|Maxtor|OneTouch II
Firewire|Maxtor|OneTouch II
Firewire|Maxtor|OneTouch II
Firewire|Maxtor|OneTouch II
Firewire|Maxtor|OneTouch II
Firewire|Maxtor|OneTouch II
Firewire|Oxford Semiconductor Ltd.   |OXFORD IDE Device   
Firewire|Oxford Semiconductor Ltd.   |OXFORD IDE Device   
Firewire|Tableau|FireWire-to-IDE
Firewire|Tableau|FireWire-to-IDE
USB|not-defined|USB DISK Pro Rev 1.08
USB|not-defined|USB DRIVE Rev 2.00
USB|040302|Flash Disk Rev 7.78
USB|FUJIFILM|USB-DRIVEUNIT Rev 1.00
USB|Generic|Flash Disk Rev 7.77
USB|Generic|STORAGE DEVICE Rev 2033
USB|Generic|USB Flash Disk Rev PMAP
USB|IBM-DARA|-212000 Rev AR4O
USB|JetFlash|TS2GJF2A 
USB|JetFlash|TS2GJF2A 
USB|JetFlash|TS512MJF2A Rev 1.00
USB|JetFlash|TS512MJF2A Rev 1.00
USB|JetFlash|TS512MJF2A Rev 1.00
USB|M-Sys|DiskOnKey Rev 4.20
USB|M-Sys|Xkey Rev 5.02
USB|M-Sys|Xkey Rev 5.02
USB|M-SysT5|Dell Memory Key Rev 5.00
USB|Maxtor|OneTouch Rev 0200
USB|Maxtor|OneTouch Rev 0200
USB|Maxtor|OneTouch Rev 0200
USB|Maxtor|OneTouch Rev 0201
USB|Maxtor|OneTouch Rev 0201
USB|Maxtor|OneTouch Rev 0201
USB|Maxtor|OneTouch Rev 0201
USB|Maxtor|OneTouch Rev 0201
USB|Maxtor|OneTouch II Rev 023g
USB|Maxtor|OneTouch II Rev 023g
USB|Maxtor|OneTouch II Rev 023g
USB|Maxtor|OneTouch II Rev 023g
USB|Maxtor|OneTouch II Rev 023g
USB|Maxtor|OneTouch II Rev 023g
USB|Maxtor|OneTouch II Rev 0244
USB|Maxtor|OneTouch II Rev 0244
USB|Maxtor|OneTouch II Rev 0244
USB|Maxtor|OneTouch II Rev 0244
USB|Maxtor 6|B300R0 Rev BAH4
USB|OTi|Flash Disk Rev 1.11
USB|Samsung|Mighty Drive Rev PMAP
USB|SanDisk|Cruzer Mini Rev 0.2
USB|SanDisk|Cruzer Titanium Rev 0.4
USB|SigmaTel|MSCN Rev 0100
USB|TOSHIBA|MK1031GAS Rev AA20
USB|TOSHIBA|MK8025GAS Rev KA02
USB|USB NAND|FLASH DISK Rev 0.20
USB|USB NAND|FLASH DISK Rev 0.20
USB|USB NAND|FLASH DISK Rev 0.20
not-defined|not-defined|not-defined
not-defined|not-defined|not-defined
not-defined|not-defined|not-defined
=============================
