DETAILS
================
Computername............: My_Windows_Computer
Operatingsystem.........: Microsoft Windows XP Service Pack 2
OS Product ID...........: 12345-640-1234567-23746
OS Registered Org.......: Example Company
OS Registered owner.....: Example Owner
Open-SIS Timestamp......: Mon 25 Sep 2006 12:03:34 
Open-SIS Scriptverion...: 0.0.3
==SOFTWARE===================
Windows Driver Package - Nokia Modem  (04/06/2006 6.8.0.17)|04/06/2006 6.8.0.17|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\010D072E91408D6B7C6FC65489B6D30C027605F5
Security Update for Windows XP (KB899588)|1|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\KB899588
Security Update for Windows XP (KB899589)|1|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\KB899589
Security Update for Windows XP (KB899591)|1|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\KB899591
Security Update for Windows XP (KB900725)|1|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\KB900725
Security Update for Windows XP (KB901017)|1|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\KB901017
Security Update for Windows XP (KB901190)|1|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\KB901190
Security Update for Windows XP (KB901214)|1|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\KB901214
Security Update for Windows XP (KB902400)|1|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\KB902400
Security Update for Windows XP (KB904706)|1|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\KB904706
Security Update for Windows XP (KB905414)|1|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\KB905414
Security Update for Windows XP (KB905749)|1|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\KB905749
Security Update for Windows XP (KB905915)|1|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\KB905915
Security Update for Windows XP (KB908519)|1|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\KB908519
